user_count,skilltest_tenure,hr_tenure,fp_tenure,longest_tenure_type,longest_tenure_days,all_rates,mean_rate,median_rate
28820,"[1894, 63, 5]","[1647, 54, 4, [27.78, 18.0, 25.0, 20.0, 16.67, 18.0], 20.91, 19.0]",None,,0,"[27.78, 18.0, 25.0, 20.0, 16.67, 18.0]",20.91,19.0
28821,"[586, 19, 1]","[178, 5, 0, [15.0, 15.0, 15.0, 15.0], 15.0, 15.0]","[433, 14, 1, 'None', 'None', 'None']",,0,"[15.0, 15.0, 15.0, 15.0]",15.0,15.0
28822,"[821, 27, 2]",None,"[451, 15, 1, 'None', 'None', 'None']",,0,[],None,None
28823,None,"[787, 26, 2, [10.0], 10.0, 10.0]","[46, 1, 0, 'None', 'None', 'None']",,0,[10.0],10.0,10.0
28824,None,"[201, 6, 0, [16.5], 16.5, 16.5]","[60, 2, 0, 'None', 'None', 'None']",,0,[16.5],16.5,16.5
28825,None,None,"[55, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28826,"[15, 0, 0]",None,"[102, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28827,None,None,"[68, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28828,None,None,"[67, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28829,None,None,"[28, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28830,None,None,"[125, 4, 0, 'None', 'None', 'None']",,0,[],None,None
28831,None,"[82, 2, 0, [15.0], 15.0, 15.0]","[80, 2, 0, 'None', 'None', 'None']",,0,[15.0],15.0,15.0
28832,None,"[125, 4, 0, [10.53], 10.53, 10.53]",None,,0,[10.53],10.53,10.53
28833,None,None,"[23, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28834,"[3356, 111, 9]","[3185, 106, 8, [11.11, 10.0, 11.11, 3.0, 7.78], 8.6, 10.0]","[2784, 92, 7, 'None', 'None', 'None']",,0,"[11.11, 10.0, 11.11, 3.0, 7.78]",8.6,10.0
28835,None,None,"[51, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28836,"[741, 24, 2]","[0, 0, 0, [32.0, 20.0], 26.0, 26.0]",None,,0,"[32.0, 20.0]",26.0,26.0
28837,"[2160, 72, 5]",None,"[613, 20, 1, 'None', 'None', 'None']",,0,[],None,None
28838,"[449, 14, 1]","[346, 11, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28839,"[562, 18, 1]","[108, 3, 0, [30.0], 30.0, 30.0]","[572, 19, 1, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
28840,None,"[0, 0, 0, [30.0], 30.0, 30.0]",None,,0,[30.0],30.0,30.0
28841,None,"[0, 0, 0, [40.0], 40.0, 40.0]",None,,0,[40.0],40.0,40.0
28842,"[2123, 70, 5]","[2104, 70, 5, [10.0, 8.89, 5.56], 8.15, 8.89]",None,,0,"[10.0, 8.89, 5.56]",8.15,8.89
28843,"[638, 21, 1]","[696, 23, 1, [16.5], 16.5, 16.5]",None,,0,[16.5],16.5,16.5
28844,"[845, 28, 2]","[0, 0, 0, [20.0], 20.0, 20.0]","[837, 27, 2, 'None', 'None', 'None']",,0,[20.0],20.0,20.0
28845,"[3127, 104, 8]","[2766, 92, 7, [16.67, 16.67], 16.67, 16.67]",None,,0,"[16.67, 16.67]",16.67,16.67
28846,"[446, 14, 1]","[383, 12, 1, [25.0, 25.0, 25.0, 25.0, 25.0, 25.0], 25.0, 25.0]","[443, 14, 1, 'None', 'None', 'None']",,0,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]",25.0,25.0
28847,None,None,None,None,None,[],None,None
28848,"[237, 7, 0]","[0, 0, 0, [25.0], 25.0, 25.0]",None,,0,[25.0],25.0,25.0
28849,"[1243, 41, 3]","[0, 0, 0, [50.0], 50.0, 50.0]",None,,0,[50.0],50.0,50.0
28850,"[1112, 37, 3]","[27, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28851,"[1256, 41, 3]","[0, 0, 0, [8.0], 8.0, 8.0]",None,,0,[8.0],8.0,8.0
28852,None,"[0, 0, 0, [30.0], 30.0, 30.0]","[137, 4, 0, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
28853,"[3291, 109, 9]","[3048, 101, 8, [50.0, 50.0, 62.5, 75.0, 50.0, 83.33, 55.56, 55.56, 27.78, 28.0, 16.67, 16.67, 26.67], 45.98, 50.0]","[1948, 64, 5, 'None', 'None', 'None']",,0,"[50.0, 50.0, 62.5, 75.0, 50.0, 83.33, 55.56, 55.56, 27.78, 28.0, 16.67, 16.67, 26.67]",45.98,50.0
28854,"[2200, 73, 6]","[2014, 67, 5, [27.78, 27.78, 22.22, 18.33], 24.03, 25.0]","[2174, 72, 5, 'None', 'None', 'None']",,0,"[27.78, 27.78, 22.22, 18.33]",24.03,25.0
28855,"[2917, 97, 7]","[2702, 90, 7, [30.0, 30.0, 30.0, 66.67, 30.0, 22.22, 55.56, 50.0, 33.33, 27.78, 20.0, 22.22, 8.89, 15.0, 13.89, 16.67, 20.0, 13.89, 10.0], 27.16, 22.22]","[2560, 85, 7, 'None', 'None', 'None']",,0,"[30.0, 30.0, 30.0, 66.67, 30.0, 22.22, 55.56, 50.0, 33.33, 27.78, 20.0, 22.22, 8.89, 15.0, 13.89, 16.67, 20.0, 13.89, 10.0]",27.16,22.22
28856,"[2382, 79, 6]","[1817, 60, 4, [3.56], 3.56, 3.56]",None,,0,[3.56],3.56,3.56
28857,"[399, 13, 1]","[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28858,None,"[0, 0, 0, [12.5], 12.5, 12.5]",None,,0,[12.5],12.5,12.5
28859,"[2505, 83, 6]",None,None,,0,[],None,None
28860,None,"[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
28861,None,"[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28862,None,"[205, 6, 0, [65.0, 50.0], 57.5, 57.5]","[153, 5, 0, 'None', 'None', 'None']",,0,"[65.0, 50.0]",57.5,57.5
28863,"[32, 1, 0]",None,"[418, 13, 1, 'None', 'None', 'None']",,0,[],None,None
28864,None,None,"[220, 7, 0, 'None', 'None', 'None']",,0,[],None,None
28865,None,None,"[377, 12, 1, 'None', 'None', 'None']",,0,[],None,None
28866,"[458, 15, 1]",None,"[155, 5, 0, 'None', 'None', 'None']",,0,[],None,None
28867,None,None,"[634, 21, 1, 'None', 'None', 'None']",,0,[],None,None
28868,"[64, 2, 0]",None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28869,"[122, 4, 0]","[93, 3, 0, [10.0, 20.0], 15.0, 15.0]","[104, 3, 0, 'None', 'None', 'None']",,0,"[10.0, 20.0]",15.0,15.0
28870,None,None,"[116, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28871,"[117, 3, 0]",None,"[112, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28872,None,None,"[291, 9, 0, 'None', 'None', 'None']",,0,[],None,None
28873,"[677, 22, 1]",None,"[114, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28874,None,None,"[30, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28875,"[1857, 61, 5]",None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28876,"[2760, 92, 7]",None,"[2702, 90, 7, 'None', 'None', 'None']",,0,[],None,None
28877,None,"[0, 0, 0, [11.11], 11.11, 11.11]",None,,0,[11.11],11.11,11.11
28878,"[119, 3, 0]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28879,"[1525, 50, 4]","[1279, 42, 3, [22.0, 12.22, 16.67, 14.44, 12.22, 12.22, 16.67, 16.67, 17.0, 13.0, 12.22, 12.22], 14.8, 13.72]","[1710, 57, 4, 'None', 'None', 'None']",,0,"[22.0, 12.22, 16.67, 14.44, 12.22, 12.22, 16.67, 16.67, 17.0, 13.0, 12.22, 12.22]",14.8,13.72
28880,None,"[2291, 76, 6, [5.0], 5.0, 5.0]",None,,0,[5.0],5.0,5.0
28881,"[2305, 76, 6]","[0, 0, 0, [14.0], 14.0, 14.0]",None,,0,[14.0],14.0,14.0
28882,"[947, 31, 2]","[880, 29, 2, [10.61], 10.61, 10.61]",None,,0,[10.61],10.61,10.61
28883,"[1993, 66, 5]","[0, 0, 0, [17.0, 12.0], 14.5, 14.5]",None,,0,"[17.0, 12.0]",14.5,14.5
28884,"[1985, 66, 5]","[1934, 64, 5, [15.0, 4.72], 9.86, 9.86]",None,,0,"[15.0, 4.72]",9.86,9.86
28885,"[436, 14, 1]",None,"[431, 14, 1, 'None', 'None', 'None']",,0,[],None,None
28886,"[433, 14, 1]",None,"[273, 9, 0, 'None', 'None', 'None']",,0,[],None,None
28887,"[249, 8, 0]",None,"[198, 6, 0, 'None', 'None', 'None']",,0,[],None,None
28888,None,None,"[219, 7, 0, 'None', 'None', 'None']",,0,[],None,None
28889,None,None,"[126, 4, 0, 'None', 'None', 'None']",,0,[],None,None
28890,None,None,"[43, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28891,"[311, 10, 0]",None,"[306, 10, 0, 'None', 'None', 'None']",,0,[],None,None
28892,None,None,"[258, 8, 0, 'None', 'None', 'None']",,0,[],None,None
28893,"[305, 10, 0]","[293, 9, 0, [12.5, 12.5, 15.0, 12.5, 10.0], 12.5, 12.5]","[301, 10, 0, 'None', 'None', 'None']",,0,"[12.5, 12.5, 15.0, 12.5, 10.0]",12.5,12.5
28894,None,None,"[28, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28895,None,None,"[252, 8, 0, 'None', 'None', 'None']",,0,[],None,None
28896,None,"[0, 0, 0, [18.0], 18.0, 18.0]","[93, 3, 0, 'None', 'None', 'None']",,0,[18.0],18.0,18.0
28897,"[1609, 53, 4]","[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
28898,"[478, 15, 1]","[0, 0, 0, [15.0, 16.67], 15.84, 15.84]",None,,0,"[15.0, 16.67]",15.84,15.84
28899,None,None,"[14, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28900,None,"[33, 1, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28901,"[198, 6, 0]","[0, 0, 0, [9.0], 9.0, 9.0]",None,,0,[9.0],9.0,9.0
28902,None,"[0, 0, 0, [20.0, 16.0], 18.0, 18.0]","[570, 19, 1, 'None', 'None', 'None']",,0,"[20.0, 16.0]",18.0,18.0
28903,"[177, 5, 0]","[0, 0, 0, [30.0], 30.0, 30.0]","[386, 12, 1, 'None', 'None', 'None']",,0,[30.0],30.0,30.0
28904,None,None,None,None,None,[],None,None
28905,"[587, 19, 1]",None,"[242, 8, 0, 'None', 'None', 'None']",,0,[],None,None
28906,"[185, 6, 0]","[86, 2, 0, [10.0], 10.0, 10.0]","[174, 5, 0, 'None', 'None', 'None']",,0,[10.0],10.0,10.0
28907,None,"[55, 1, 0, [75.0, 75.0], 75.0, 75.0]",None,,0,"[75.0, 75.0]",75.0,75.0
28908,"[536, 17, 1]","[510, 17, 1, [12.0], 12.0, 12.0]",None,,0,[12.0],12.0,12.0
28909,"[1138, 37, 3]",None,None,,0,[],None,None
28910,None,"[0, 0, 0, [50.0], 50.0, 50.0]","[264, 8, 0, 'None', 'None', 'None']",,0,[50.0],50.0,50.0
28911,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28912,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28913,"[223, 7, 0]",None,"[41, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28914,None,"[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28915,None,"[0, 0, 0, [14.0], 14.0, 14.0]",None,,0,[14.0],14.0,14.0
28916,None,None,"[330, 11, 0, 'None', 'None', 'None']",,0,[],None,None
28917,None,"[0, 0, 0, [18.0], 18.0, 18.0]",None,,0,[18.0],18.0,18.0
28918,"[800, 26, 2]",None,"[747, 24, 2, 'None', 'None', 'None']",,0,[],None,None
28919,"[451, 15, 1]",None,"[184, 6, 0, 'None', 'None', 'None']",,0,[],None,None
28920,"[835, 27, 2]","[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28921,"[1892, 63, 5]","[1553, 51, 4, [25.0, 16.67, 16.67, 14.44, 16.67, 16.67], 17.69, 16.67]",None,,0,"[25.0, 16.67, 16.67, 14.44, 16.67, 16.67]",17.69,16.67
28922,"[159, 5, 0]","[0, 0, 0, [12.5], 12.5, 12.5]","[204, 6, 0, 'None', 'None', 'None']",,0,[12.5],12.5,12.5
28923,None,"[88, 2, 0, [18.5], 18.5, 18.5]",None,,0,[18.5],18.5,18.5
28924,None,"[0, 0, 0, [10.0], 10.0, 10.0]","[143, 4, 0, 'None', 'None', 'None']",,0,[10.0],10.0,10.0
28925,None,None,"[97, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28926,"[1278, 42, 3]","[0, 0, 0, [33.0, 33.33, 33.33], 33.22, 33.33]",None,,0,"[33.0, 33.33, 33.33]",33.22,33.33
28927,"[34, 1, 0]",None,None,,0,[],None,None
28928,None,None,"[83, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28929,None,None,"[94, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28930,"[1292, 43, 3]","[0, 0, 0, [17.0, 15.0], 16.0, 16.0]",None,,0,"[17.0, 15.0]",16.0,16.0
28931,"[1284, 42, 3]","[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28932,None,"[0, 0, 0, [15.0, 12.0, 10.0], 12.33, 12.0]",None,,0,"[15.0, 12.0, 10.0]",12.33,12.0
28933,"[1943, 64, 5]","[0, 0, 0, [22.22, 22.22], 22.22, 22.22]",None,,0,"[22.22, 22.22]",22.22,22.22
28934,"[1999, 66, 5]","[131, 4, 0, [20.0], 20.0, 20.0]","[838, 27, 2, 'None', 'None', 'None']",,0,[20.0],20.0,20.0
28935,"[474, 15, 1]",None,"[288, 9, 0, 'None', 'None', 'None']",,0,[],None,None
28936,"[60, 2, 0]",None,None,,0,[],None,None
28937,"[184, 6, 0]",None,"[88, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28938,"[501, 16, 1]","[157, 5, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28939,"[265, 8, 0]","[224, 7, 0, [17.0], 17.0, 17.0]","[429, 14, 1, 'None', 'None', 'None']",,0,[17.0],17.0,17.0
28940,"[236, 7, 0]",None,None,,0,[],None,None
28941,None,None,None,None,None,[],None,None
28942,None,None,None,None,None,[],None,None
28943,None,"[0, 0, 0, [22.0, 20.0], 21.0, 21.0]","[0, 0, 0, 'None', 'None', 'None']",,0,"[22.0, 20.0]",21.0,21.0
28944,"[782, 26, 2]","[0, 0, 0, [11.11], 11.11, 11.11]",None,,0,[11.11],11.11,11.11
28945,"[40, 1, 0]",None,"[53, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28946,"[817, 27, 2]","[0, 0, 0, [16.5], 16.5, 16.5]",None,,0,[16.5],16.5,16.5
28947,None,None,"[20, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28948,None,None,"[47, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28949,None,None,"[28, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28950,None,None,"[33, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28951,None,None,"[89, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28952,"[114, 3, 0]",None,"[113, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28953,None,None,"[112, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28954,"[132, 4, 0]",None,"[96, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28955,None,"[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28956,"[1011, 33, 2]","[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
28957,None,None,"[27, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28958,None,None,"[488, 16, 1, 'None', 'None', 'None']",,0,[],None,None
28959,None,"[299, 9, 0, [8.0], 8.0, 8.0]","[86, 2, 0, 'None', 'None', 'None']",,0,[8.0],8.0,8.0
28960,"[506, 16, 1]",None,"[341, 11, 0, 'None', 'None', 'None']",,0,[],None,None
28961,None,None,"[20, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28962,"[590, 19, 1]",None,"[610, 20, 1, 'None', 'None', 'None']",,0,[],None,None
28963,"[1550, 51, 4]",None,"[296, 9, 0, 'None', 'None', 'None']",,0,[],None,None
28964,"[131, 4, 0]",None,"[25, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28965,None,"[92, 3, 0, [15.0], 15.0, 15.0]","[88, 2, 0, 'None', 'None', 'None']",,0,[15.0],15.0,15.0
28966,"[254, 8, 0]","[0, 0, 0, [21.0], 21.0, 21.0]","[240, 8, 0, 'None', 'None', 'None']",,0,[21.0],21.0,21.0
28967,"[241, 8, 0]",None,"[107, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28968,"[625, 20, 1]","[0, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28969,"[861, 28, 2]",None,None,,0,[],None,None
28970,None,"[527, 17, 1, [20.0, 15.0], 17.5, 17.5]",None,,0,"[20.0, 15.0]",17.5,17.5
28971,"[159, 5, 0]","[79, 2, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28972,None,None,"[75, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28973,"[88, 2, 0]","[87, 2, 0, [16.0, 20.0], 18.0, 18.0]","[87, 2, 0, 'None', 'None', 'None']",,0,"[16.0, 20.0]",18.0,18.0
28974,"[80, 2, 0]",None,"[67, 2, 0, 'None', 'None', 'None']",,0,[],None,None
28975,None,None,"[27, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28976,None,None,"[16, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28977,"[94, 3, 0]","[52, 1, 0, [38.5], 38.5, 38.5]","[87, 2, 0, 'None', 'None', 'None']",,0,[38.5],38.5,38.5
28978,"[44, 1, 0]",None,"[36, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28979,None,None,None,None,None,[],None,None
28980,"[20, 0, 0]",None,"[25, 0, 0, 'None', 'None', 'None']",,0,[],None,None
28981,None,"[0, 0, 0, [21.5], 21.5, 21.5]","[754, 25, 2, 'None', 'None', 'None']",,0,[21.5],21.5,21.5
28982,"[1152, 38, 3]",None,"[37, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28983,"[1134, 37, 3]",None,"[32, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28984,"[1315, 43, 3]",None,"[51, 1, 0, 'None', 'None', 'None']",,0,[],None,None
28985,"[1400, 46, 3]",None,"[675, 22, 1, 'None', 'None', 'None']",,0,[],None,None
28986,"[573, 19, 1]",None,"[397, 13, 1, 'None', 'None', 'None']",,0,[],None,None
28987,"[1134, 37, 3]",None,"[1125, 37, 3, 'None', 'None', 'None']",,0,[],None,None
28988,None,None,"[329, 10, 0, 'None', 'None', 'None']",,0,[],None,None
28989,"[109, 3, 0]",None,"[100, 3, 0, 'None', 'None', 'None']",,0,[],None,None
28990,None,"[0, 0, 0, [12.0], 12.0, 12.0]",None,,0,[12.0],12.0,12.0
28991,"[261, 8, 0]","[20, 0, 0, [20.0], 20.0, 20.0]",None,,0,[20.0],20.0,20.0
28992,None,None,None,None,None,[],None,None
28993,None,"[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
28994,"[537, 17, 1]","[0, 0, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
28995,None,"[0, 0, 0, [9.5], 9.5, 9.5]","[45, 1, 0, 'None', 'None', 'None']",,0,[9.5],9.5,9.5
28996,None,"[46, 1, 0, [21.88], 21.88, 21.88]",None,,0,[21.88],21.88,21.88
28997,"[695, 23, 1]",None,"[663, 22, 1, 'None', 'None', 'None']",,0,[],None,None
28998,None,None,"[885, 29, 2, 'None', 'None', 'None']",,0,[],None,None
28999,"[55, 1, 0]",None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29000,None,None,"[95, 3, 0, 'None', 'None', 'None']",,0,[],None,None
29001,"[2231, 74, 6]",None,"[522, 17, 1, 'None', 'None', 'None']",,0,[],None,None
29002,"[562, 18, 1]","[0, 0, 0, [7.0], 7.0, 7.0]",None,,0,[7.0],7.0,7.0
29003,"[772, 25, 2]",None,"[720, 24, 1, 'None', 'None', 'None']",,0,[],None,None
29004,None,"[0, 0, 0, [15.0], 15.0, 15.0]",None,,0,[15.0],15.0,15.0
29005,"[22, 0, 0]",None,"[23, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29006,None,None,None,None,None,[],None,None
29007,None,None,"[482, 16, 1, 'None', 'None', 'None']",,0,[],None,None
29008,None,"[20, 0, 0, [25.0], 25.0, 25.0]","[62, 2, 0, 'None', 'None', 'None']",,0,[25.0],25.0,25.0
29009,"[1251, 41, 3]","[1184, 39, 3, [24.44], 24.44, 24.44]","[1240, 41, 3, 'None', 'None', 'None']",,0,[24.44],24.44,24.44
29010,None,None,"[65, 2, 0, 'None', 'None', 'None']",,0,[],None,None
29011,None,None,"[87, 2, 0, 'None', 'None', 'None']",,0,[],None,None
29012,None,None,"[275, 9, 0, 'None', 'None', 'None']",,0,[],None,None
29013,None,"[0, 0, 0, [50.0], 50.0, 50.0]","[263, 8, 0, 'None', 'None', 'None']",,0,[50.0],50.0,50.0
29014,"[438, 14, 1]",None,"[363, 12, 0, 'None', 'None', 'None']",,0,[],None,None
29015,None,None,"[32, 1, 0, 'None', 'None', 'None']",,0,[],None,None
29016,"[530, 17, 1]","[330, 11, 0, [20.0], 20.0, 20.0]","[325, 10, 0, 'None', 'None', 'None']",,0,[20.0],20.0,20.0
29017,"[139, 4, 0]",None,"[125, 4, 0, 'None', 'None', 'None']",,0,[],None,None
29018,None,None,None,None,None,[],None,None
29019,"[43, 1, 0]",None,"[64, 2, 0, 'None', 'None', 'None']",,0,[],None,None
29020,None,"[0, 0, 0, [34.0, 34.0, 34.0], 34.0, 34.0]",None,,0,"[34.0, 34.0, 34.0]",34.0,34.0
29021,None,"[0, 0, 0, [12.5, 12.5, 12.5], 12.5, 12.5]",None,,0,"[12.5, 12.5, 12.5]",12.5,12.5
29022,None,"[0, 0, 0, [14.0], 14.0, 14.0]",None,,0,[14.0],14.0,14.0
29023,None,None,None,None,None,[],None,None
29024,None,None,"[18, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29025,None,None,None,None,None,[],None,None
29026,"[572, 19, 1]",None,"[533, 17, 1, 'None', 'None', 'None']",,0,[],None,None
29027,"[524, 17, 1]",None,"[446, 14, 1, 'None', 'None', 'None']",,0,[],None,None
29028,None,None,"[264, 8, 0, 'None', 'None', 'None']",,0,[],None,None
29029,None,"[409, 13, 1, [22.0], 22.0, 22.0]","[611, 20, 1, 'None', 'None', 'None']",,0,[22.0],22.0,22.0
29030,None,"[50, 1, 0, [12.5], 12.5, 12.5]",None,,0,[12.5],12.5,12.5
29031,"[630, 21, 1]",None,"[642, 21, 1, 'None', 'None', 'None']",,0,[],None,None
29032,"[1846, 61, 5]","[942, 31, 2, [16.67, 13.33], 15.0, 15.0]","[1781, 59, 4, 'None', 'None', 'None']",,0,"[16.67, 13.33]",15.0,15.0
29033,"[487, 16, 1]","[90, 3, 0, [35.0], 35.0, 35.0]","[497, 16, 1, 'None', 'None', 'None']",,0,[35.0],35.0,35.0
29034,None,None,"[142, 4, 0, 'None', 'None', 'None']",,0,[],None,None
29035,None,"[336, 11, 0, [15.0, 15.0], 15.0, 15.0]","[542, 18, 1, 'None', 'None', 'None']",,0,"[15.0, 15.0]",15.0,15.0
29036,None,None,"[38, 1, 0, 'None', 'None', 'None']",,0,[],None,None
29037,"[157, 5, 0]",None,"[624, 20, 1, 'None', 'None', 'None']",,0,[],None,None
29038,None,None,"[66, 2, 0, 'None', 'None', 'None']",,0,[],None,None
29039,None,None,"[149, 4, 0, 'None', 'None', 'None']",,0,[],None,None
29040,"[513, 17, 1]","[334, 11, 0, [10.0], 10.0, 10.0]","[0, 0, 0, 'None', 'None', 'None']",,0,[10.0],10.0,10.0
29041,"[2134, 71, 5]",None,None,,0,[],None,None
29042,"[1661, 55, 4]","[1651, 55, 4, [4.44, 3.33, 5.56], 4.44, 4.44]",None,,0,"[4.44, 3.33, 5.56]",4.44,4.44
29043,"[92, 3, 0]",None,"[86, 2, 0, 'None', 'None', 'None']",,0,[],None,None
29044,None,None,"[24, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29045,"[729, 24, 1]","[564, 18, 1, [18.0, 18.0], 18.0, 18.0]","[0, 0, 0, 'None', 'None', 'None']",,0,"[18.0, 18.0]",18.0,18.0
29046,None,"[0, 0, 0, [10.91], 10.91, 10.91]",None,,0,[10.91],10.91,10.91
29047,None,"[40, 1, 0, [10.0], 10.0, 10.0]",None,,0,[10.0],10.0,10.0
29048,None,None,"[755, 25, 2, 'None', 'None', 'None']",,0,[],None,None
29049,"[668, 22, 1]","[470, 15, 1, [20.0, 10.0], 15.0, 15.0]","[605, 20, 1, 'None', 'None', 'None']",,0,"[20.0, 10.0]",15.0,15.0
29050,"[164, 5, 0]",None,"[97, 3, 0, 'None', 'None', 'None']",,0,[],None,None
29051,None,None,"[93, 3, 0, 'None', 'None', 'None']",,0,[],None,None
29052,None,None,None,None,None,[],None,None
29053,"[1480, 49, 4]","[1586, 52, 4, [33.33, 33.33, 33.33, 33.33, 33.33, 50.0, 22.22], 34.12, 33.33]","[1747, 58, 4, 'None', 'None', 'None']",,0,"[33.33, 33.33, 33.33, 33.33, 33.33, 50.0, 22.22]",34.12,33.33
29054,"[1942, 64, 5]",None,"[1876, 62, 5, 'None', 'None', 'None']",,0,[],None,None
29055,"[69, 2, 0]","[24, 0, 0, [10.0, 10.0], 10.0, 10.0]",None,,0,"[10.0, 10.0]",10.0,10.0
29056,"[402, 13, 1]",None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29057,"[463, 15, 1]","[0, 0, 0, [40.0], 40.0, 40.0]","[102, 3, 0, 'None', 'None', 'None']",,0,[40.0],40.0,40.0
29058,"[244, 8, 0]",None,"[269, 8, 0, 'None', 'None', 'None']",,0,[],None,None
29059,"[422, 14, 1]","[363, 12, 0, [6.0], 6.0, 6.0]","[410, 13, 1, 'None', 'None', 'None']",,0,[6.0],6.0,6.0
29060,None,None,"[24, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29061,None,None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29062,None,None,"[45, 1, 0, 'None', 'None', 'None']",,0,[],None,None
29063,"[581, 19, 1]",None,"[565, 18, 1, 'None', 'None', 'None']",,0,[],None,None
29064,None,"[95, 3, 0, [25.0, 35.0], 30.0, 30.0]","[192, 6, 0, 'None', 'None', 'None']",,0,"[25.0, 35.0]",30.0,30.0
29065,None,None,"[111, 3, 0, 'None', 'None', 'None']",,0,[],None,None
29066,"[1047, 34, 2]",None,"[50, 1, 0, 'None', 'None', 'None']",,0,[],None,None
29067,"[3433, 114, 9]",None,None,,0,[],None,None
29068,"[1863, 62, 5]",None,"[1481, 49, 4, 'None', 'None', 'None']",,0,[],None,None
29069,"[152, 5, 0]",None,"[0, 0, 0, 'None', 'None', 'None']",,0,[],None,None
29070,None,None,"[111, 3, 0, 'None', 'None', 'None']",,0,[],None,None
29071,"[177, 5, 0]",None,"[31, 1, 0, 'None', 'None', 'None']",,0,[],None,None
