institution,comment,degree
Van Nuys High School,"With the luxury of many art classes offered, I was early trained in photography, graphic design, calligraphy, watercolor painting, and other fine art skills. My first graphic design clients were as a senior in high school, designing children's menus for a restaurant and a logo for an amusement park design company.",High school degree
Emmaus High School,,High school degree
Antioch high School,,
Fishers High School,,High school degree
Noblesville High School,"I am in my Senior year of High School, working towards my High School degree.",High school degree
George Washington High School,,
Springfield High School,,High school degree
Mount Dora High School,,High school degree
Midlothian High School,,High school degree
Everglades High School,,
Arlington High School,,
Centennial High School,I graduated a year early from highschool,
Williamston High School,,
Willowbrook High School,"Certification from ""Office Education Association""",
North Laurel High School,"Although I briefly attended college, my logic and intellect gave way to the turbulence of my 20s. I have since attended technical school and am certified in cosmetology. Alas, I do not have a college degree.",High school degree
Westlake High School,,High school degree
Arrowhead High School,"Started Junior year, it was the only subject I've ever actually carried over into my personal life because I truly enjoyed the field.",
Acceleration East High School,,High school degree
Perry High School,,
McEachern High School,,High school degree
Fannin County High School,,
Walter Hines Page High School,"I received my International Baccalaureate (IB) Diploma, thus entering into college as a sophomore by credit hours",High school degree
Western Hills Design and Technology High School,,High school degree
Cambridge South-Dorchester High School,,
Brighton High School,,High school degree
lincoln high school,,
Chelsea High School,,High school degree
Dekaney High School,,Other
Estancia High School,,High school degree
J. Sterling Morton High School East,,
High School,High School Diploma,High school degree
William Howard Taft High School,,High school degree
Daphne High School,,High school degree
Green Valley High School,,
Surry Central High School,,
American High School,,
LaGrange Senior High School,,High school degree
Richmond High School,,High school degree
Mountain View High School,,
Saltillo High School,,
East Davidson High School,,High school degree
High School  7, Major subjects for high school education in Russia.,High school degree
Winfield High School,,High school degree
Highland High School,Some college classes taken after graduating HS.  Most of my training and experience was provided by LIFE.  I've done well.  :),
El Cajon Valley High School,,High school degree
North Platte High School,,
Page High School,,
Overland High School,,
Shawsheen Valley Technical High School,,
Food and Finanace High School,I've completed 4 years,
Kirkwood High School,,
Palatine High School,"At 36 I found out what I wanted to do with my life. At 18 I had no idea. I'm 52 now and am one who believes it does not take a bunch of letters behind a name to be intelligent and successful. ;)  I have many certificates in fields that interest me that have to do with my business. Personal training, weight loss, psychology, strength training, life coaching. I've done most of my marketing on my own and with a little help have developed my business accordingly.",Associate's degree
East Fairmont High School,,
Haughton High School,,High school degree
Jeffersonville High School,,
mineral wells high school,Local high school,
Everett High School,,High school degree
Mansfield High School,,High school degree
Randallstown High School,,High school degree
Moore High School,,High school degree
Indian Land High School,,High school degree
North Miami Jr high school,,High school degree
Londonderry High School,,
Columbia High School,,High school degree
Franklin K. Lane High School,,High school degree
Garinger high school,,
Hopewell High School,,
Mesquite High School,,High school degree
Oakland High School,,High school degree
Brainerd High School,,High school degree
Spotswood High School-> Penn Laird VA,,High school degree
Richmond High School,,
Highland High School,Diploma,
Waiakea high school,"Been editing videos since high school for school projects for my business and marketing class. Everything I've learned about video editing is a result of experience from actually just doing that, editing videos. I staring in high school using windows movie maker, but I have gotten more serious and skilled in Sony Vegas Pro in the past 4 years.",
LeRoy-Ostrander High School,This was a high school in a small town with grades 7 through 12.,High school degree
James Martin High School,,High school degree
Northeast High School - Academy of Finance,,High school degree
Riverview High School,,Foundation degree
Johnson Senior High School,,High school degree
Rio Rancho High School,,
La Habra High School,,High school degree
New Trier Township High School,,High school degree
Frederick High School,,High school degree
Kennett High School,,High school degree
The Bronx High School of Science,,High school degree
East Forsyth High School,,High school degree
Lewis Cass Jr./Sr. High School,"*11th in my graduating class
*Attained Academic Honors Diploma",High School
Skyline High School,,High school degree
Stearns High School,,High school degree
Ridley High School,High school diploma,
Hatboro- Horsham High School,,High school degree
Rubidoux High School,"During his time in high school Johnny completed numerous plays including an abridged stage production of Sweeney Todd: Demon Barber of Fleet Street which he directed, choreographed, acted and sang in and provided vocal coaching for his costars. ",
Milton Eisner High School,,Bachelor of Laws (LL.B.)
Layton High School,High School Diploma,Other
Loudoun County High School,,
First Flight High School,,
Townsend Harris High School,,Bachelor of Arts (B.A.)
Lawrence High School,"Graduated high school with a 4.1490 GPA on a 4 point scale with a strong background in math, science and technology and with heavy involvement in the community.",High school degree
Stillwater Area High School,,
Rio Rancho High School,,
Auburn High School,I have not completed high school. Upwork would not let me continue on my device without putting a degree down.,High school degree
Woodlawn High School,,High school degree
Manila High School,,Bachelor of Applied Science (B.A.Sc.)
Spring High School,Diploma,
Nevada High School,,
South Panola High School,,High school degree
South Iredell high school,,High school degree
Morton West High School,,High school degree
Aiken High School,"General and business-related subjects.  ""A"" & ""B"" honor-roll awards and honors.  Received  vocational certificate.",High school degree
J.C. Harmon High School,,High school degree
unatego jr sr high school,,
"John Marshall High School, Glen Dale WV",,High school degree
JFK High School,,High school degree
North Hollywood High School,,
Penfoster high school,,
Evans High School,,
High School,,
Chino Valley High School,High School Diploma,High school degree
New Kent High school,High school,High School
Oak Park High School,,High school degree
North Andover HIgh School,,
Olmsted Falls High School,"Took various AP and dual enrollment college courses throughout my high school career. Most importantly I was deeply invested in our fine arts programs all four years finishing with a portfolio class, the highest possible fine arts class at my school.",High school degree
Bothell Senior High School,,High school degree
El Camino High School,,High school degree
Oldham County High School,,High school degree
Santa Barbara High School,,High school degree
Palo Verde High School,,High school degree
Spain Park High School,,
Lago Vista High School,,High school degree
MOntville High School,,
Jupiter High School,,High school degree
Morton West High School,,High school degree
Stockton High School,,Associate's degree
Shepherd High School,,High school degree
South Panola High School,,High school degree
Searcy High School,Graduated with a College Prep Diploma,
"Peterson Lomas High School, Mexico City, MX",,
West Mecklenburg High School,,High school degree
Borah High School,,High school degree
J.W. Nixon High School,,Diploma
hollywood hills high school,,High school degree
Stafford High School,"Yes, I am a high school student when I fill in these boxes!
However, I do possess considerable amount of time to spare, do have the enthusiasm and spirit to dedicate, and, most importantly, do master the art of translation between English and Chinese.",
Christiana High School,,High school degree
Verona Area High School,,
Inland Lakes High School,,High school degree
Neuqua Valley High School,,High school degree
Johnston Senior High School,,
Northeast High School,,
Kings High School,,
Burlingame High School,"Independent study participant, and took class on a 1 on 1 setting to learn calculus and other math classes to get a full comprehension of the subject.",
Galesburg High School,,High school degree
Ione High School,"I graduated from the Ione High School Class of 2017 with honors as well as nearly two years worth of college credit. I excelled in both math and literature, but more so in literature.",High school degree
Hunter College High School,,
West Charlotte Sr High School,High School Diploma,
Northeast High School,,
Bellingham High School,,High school degree
Arroyo Valley High School,Took four years drawing/painting classes as well as completing a one-month course at California State Summer School for the Arts. Passed both Spanish and 2-D Design AP tests. Participated weekly in Photography and Computer Game Design clubs.,High school degree
Forest Hill High School,,High school degree
Brooklyn high school,,High school degree
Grace Christian High School,I will be graduating with an advanced diploma. Current GPA is around 3.8 with an SAT score at 1360 (conversion is 29 for ACT).,
Northrop High School,,
Silverado High School,,High school degree
Lake Orion High School,,
Williamsville High School,,High school degree
Stockdale High School,I like to keep it vague because the options in technology are limitless,High school degree
Albert Einstein High School,,High school degree
West Henderson high school,I have taken classes in marketing and business fields.,
West Henderson High School,"I have taken lots of marketing and business classes as I hope to study these fields in college,",
Arlington High School,,
Ridgewood High School,,
Liberty High School,,High school degree
St. Louis High School,,High school degree
Manvel High School,,
Hayward High School,,
Eleanor Roosevelt High School,"I participated in a half day internship at the University of Maryland's Language Development Lab assisting in scheduling, data entry, and cold calling.
I was in the National Honors Society, the Latin Honor Society, and the Tri-M Music Honor Society.",High school degree
Tourtellotte Memorial High School,,High school degree
Bartlett High School,,High school degree
West Orange High School,,High school degree
Central High School,,
Farmersville High School,,High school degree
Hasbrouck Heights high school,,High school degree
Sedan High School,,High school degree
Bateman's Bay High School,,
Lee High School,,High School
Paynesville High School,,High school degree
New Prague High School,,High school degree
El Dorado High School,,
Westerly High School,,High school degree
Royal Palm Bech High School,"Traditional forms of printed or hand-produced materials, Interior design, Graphic Design, Text, Audio, Images, Illustration, Videos, Editing, Canvas Painting, Still Images, and Video Editing.",High school degree
Keystone High School,,High school degree
Sherman E. Burroughs High School,,High school degree
Land O Lakes High School,,
Kokomo High School,,High school degree
Joplin High School,,
Grundy High school,,High school degree
C. K. McClatchy High School,,High school degree
Friendswood High School,,High school degree
Lynbrook High School,"Top-ranked public high school in San Jose, California, US",High school degree
Chandler High school,,
"Online Marketing Classes, High School Diploma","Social Media Management , Marketing for small business's to acquire new costumers",High school degree
Belleville High School,,
Woodbridge High School,,
Lehigh Valley Charter High School For The ARTS,,High school degree
Unioto High School,I received my diploma from Unioto High School in 2008.,High school degree
Bergen Catholic High School,,High school degree
Centerville High School,,High school degree
Timberline High School,,High school degree
State College Area High School,,
High School of Science and Technology,,
Shelbyville Central High School,,High school degree
Paul VI High School,,
Southern Vance High School,,High school degree
Rogers High School,,
High School,,
Jenks High School,,
Corning Union High School,,High school degree
Lincoln High School,,
Central Senior High School,"In my last year of school, I worked as a stay in school student for the Library of Congress as a Clerk Typist! This is where I discovered my niche!",High school degree
Van Buren County High School,,
Diamond Ranch High School,,High school degree
Alonso High School,,High school degree
Pleasant valley high school,,High school degree
Kent-Meridian High School,,High school degree
Foothill High School,High School Diploma,
Arsenal Technical High School,,High school degree
Fenger High School,,
Boulder High School,,High school degree
Saydel High School,,High school degree
Morrow High School ,"In High School I was involved with a lot of clubs and activities. I was a active leader in Girl Scouts, (president of my troop), I held many offices in my local 4-H club, Marching Band, Latin Club, Spanish Club, French Club, Mock Trial, FBLA, DECA,   School Store manager, Yearbook Editor, Office Manager, Literary Magazine Editor, &  Newspaper Staff Writer.",High school degree
Central High School,,
Stone Bridge High School,,
New Oxford High School,,High school degree
Dekalb High School,"Completed 4 years of high school majoring in Machine Trades. I had 2 years of vocational machine trades, 3 years of metals and 3 years of electricity class.",High School
Annapolis High School,,High school degree
Brother Rice High School,,
McCluer North High School,,High school degree
Newman Smith High School,,
Oak Creek High School,High School,Bachelor of Fine Arts (B.F.A.)
Arroyo High School,Graduated with a 3.8 GPA overall.,High school degree
Assabet Valley Vocational High School,"I attended a vocational high school which allowed me the opportunity to learn a trade. This is where I got hands on experience creating content from photos to videos, creating logos etc.",High school degree
Los Banos High School,,
Bingham High School,"Still in high school, but will be graduating in June of 2018.",High school degree
Elizabeth Andrews High School,,High school degree
University High School,,
Monmouth High School,,
Winter Park High School,,High school degree
St Genevieve High School,,High school degree
Oostburg High School,,
Jupiter High School,,
Perry Merdian high school,,
Allen High School,,
Pennfoster High School,,High school degree
Latta High School,,
"Germantown High School, Germantown TN",High School...,
Oxford Area High School,,
Avon High School,,High school degree
"Willimasville High School, Williamsville, IL",,
Wooddale High School,,
North Mecklenburg High School,,
Johnstown Monroe High School,,High school degree
Buford High School,,
Prospect Mountain High school,"Aside from the standard classes required in U.S. post secondary education, I also spent three years in an independent study covering the basics of audio production, as well as organizing, producing, and distributing three separate music EPs and assisting fellow students in the organization and production of their own projects, which included two music videos and several musical compositions.",High school degree
Artesia High School,,High school degree
West Aurora High School,Recipient of Best Art Department in Illinois for 2016-2017,
Western Christian High School,,
Halstead High School,Emphasis on Science and Math,High school degree
Jacobs High School,,High school degree
William T. Dwyer High School,,High school degree
Eunice High School,"High school diploma, graduated with a 3.2 GPA.",
Fraser High School,"Progressed through many languages on my own as my school did not offer anything beyond Web Design which I have taken.

I took online courses in my free time so I was able to progress quicker and begin learning earlier than others.",High school degree
Lakeville South High School,,
SULTAN MAHMOOD GHAZNVI HIGH SCHOOL,,High school degree
Lowell High School,,High school degree
Central High School,,High school degree
Western Harnett High School,,
Deep Creek High School,Perfect Attendance,High school degree
High School,,
Chalmette High School,,High school degree
Palmer High School,,
Roseburg High School,,
Stockton high school,,High school degree
Dougherty Valley High School,,
Burlington Community High School,,
Pueblo West High School,,High school degree
Mount Tahoma High School,,High school degree
caledonia high school,,High school degree
Ysleta High School,,High school degree
Skowhegan Area High School,High school equivalency diploma,High school degree
locust valley high school,,High school degree
Lincoln County High School,,
North High School,"General High School Education, Marching Band, Jazz Band, Band, and Choir.",High school degree
North High School,,High school degree
Cheshire High School,,
Canon McMillan High School,I have received my high school diploma. The degree section is not allowing me to put that information in.,
Bear Grass High School,Took a few years of typing and business classes in high school,
Career Success High School,,High school degree
Pasquotank County High School,,High school degree
Parkrose High School,,
Marine City High School,,High school degree
Westland High School,,
Carnegie vanguard high school,One of the most rigorous high schools in America: ranked the 7th best in the nation by USnews.,High school degree
Bolsa Grande High School,,High school degree
Dalton High School,,High school degree
Indian Lake High School,,High school degree
Greenwood Senior High School,,High school degree
Penn Foster High School (US),Took electives in literature and reading which was beneficial to my pursuit of Translating and Editing.,High school degree
C.D Hylton High School,,
Rio Grande City High School,High School,
Chapel Hill High School,,High school degree
Cedar Falls High School,,High school degree
Rosemount High School,,High school degree
"St. John's High School, Guam",,High school degree
Burnet High School,,
Eau Claire North High School,,
Eleanor Roosevelt High School,,High school degree
Riverton High School,,High school degree
River Valley High School,,High school degree
Santiago High School,Enrolled in 4 years of Fine Arts training.,High school degree
"City Polytechnic High School of Engineering, Architecture, and Technology",,
Hackensack High School,,High school degree
Liberty High School,,
Gallup High School,,High school degree
Allen High School,,High school degree
Fauquier High School,,
New Ulm Public High School,,
West Forsyth High school,,
Terre Haute North Vigo High School,,High school degree
Andover high school,,High school degree
Eastern High School,,
Hilton High School,,High school degree
Castro Valley High School,,
Peachtree Ridge High School,,High school degree
Anniston High School,,High school degree
Cy-Woods High School,,
Menomonie High School,,
Belen High School,I spend my time here learning web development.,
Newington High School,,
McMinnville High School,,High school degree
Rialto High School,,
Palm Harbor University High School,Graduated with CNA,
Wauwatosa East High School,,High school degree
Oak Park High School,,High school degree
Rushville Consolidated High School,,High school degree
Round Rock High School,,Foundation degree
St. james high school,,High school degree
Kapolei High School,"Business Management
Accounting
Marketing",High school degree
Sunnyside High school,,High school degree
Clear Brook High School,,High school degree
Lamesa High School Graduated at 1978,,High school degree
New Chapel Hill High School,Architectural Board Drafting,
New Harmony High school,,High school degree
Saratoga High School,,High school degree
Burnsville High School,,
Cedar cliff high school,,
Centennial High School,,
Troy High School,,High school degree
Fairfax High school,,High school degree
High School,I have taken many technology classes to help aid in my current knowledge of digital photo editing and designing.,
Central High School,,
George Wingate High School,,High school degree
Dickson County High School,,High school degree
Kaywon High School of Arts,I learned all the basic art skills and knowledge.,
Bryan Adams High School,Graduated with Honors,High school degree
Boone High School,,
Madison High School,,
Fort Osage High School,"High school, what can I say?",High school degree
Diamond Bar High School,"Received Diploma with honors, including AP and International Baccalaureate",
Northeast High school,,High school degree
Villa Grove High School,,High school degree
Upper Merion Area High School,,High school degree
Antioch High School ,,
Scotts Hill High School ,,High school degree
Henninger High School,,High school degree
Southwest Miami Senior High School,,
Mendocino High School,,High school degree
Hillcrest High School,,High school degree
Thouand Oaks High School,,High school degree
Nashua High School South,,High school degree
Uintah High School,,High school degree
Bluffton High School,,High school degree
Black diamond high school,,
High School (Germany),,High school degree
La Cueva High School,,High school degree
Broad Run High School,,High school degree
Kiski Area High School,"Graduated with honors on top of excelling at several extra-curricular activities. Thus of which include swimming, diving, show choir, choir, musical production's and dramas, as well as other, lesser known clubs and organizations.",
"Philip Randolph Campus High School , NYC",,High school degree
Danbury High School,,
Dougherty Valley High School,,
Singer High School,,High school degree
Lakewood High School,,High school degree
Springer High School,,High school degree
Vertus high school,,
Saginaw High School,,
Arkalik High School,,High school degree
American High School,,Other
Kenmore High School,,High school degree
Tokay High School,General Education,High school degree
Columbia High School,,
Merrill F. West High School,,High school degree
Lawrence Free State High School,,
South Panola High School,,High school degree
Americus Sumter High School,,High school degree
Clinton High School,,Other
TC Roberson High School,Business Administration major,High school degree
Central Fulton Senior High School,,
Coolidge High School,,High School
Queens Vocational/ Technical High School		,"	High School Regents Diploma with a business specialization that encompassed areas such as: E-commerce, Web Design and Computer information processing and programs.
	Certified Microsoft Office Suite 2003 Specialist.
	Certified fluent in Spanish.
",High School Regents Diploma
Central Catholic High School,,
Burrillville High School,,High School
Canyon Springs High School,Received dipoloma.,High School
NEW UTRECHT HIGH SCHOOL,4 gpa,High school degree
ITCG Cesare Battisti - Salo' (Italy) - Technical and Commercial High School,,
Bad Axe High School,,High School
Central High School,I graduated 5th in my class of 365 people. There were two valedictorians and two salutatorians.,High school degree
Canon-Mcmillan Senior High School,,High school degree
Must high school,,High school degree
Putnam City North High School,,
Old Rochester Regional High School,,High school degree
Lansdowne Senior High School,,High school degree
Clearfield High School,,High school degree
Gahanna Lincoln High School,,
Cabot High School,,
Juneau Douglas High School,,
McDonald County High School,,High school degree
Valley High School,,High school degree
Tri-West High School,,High school degree
Stoneham High School,,High school degree
Glen Este High School,"Learned Microsoft Word, Microsoft Powerpoint, how to make detailed articles. Even in school I learned how to make a scrapbook blog, there is a lots of creative and factual writing I love doing.",
Madison County High School,,
Eufaula High School,,High school degree
Immaculata High School,,High school degree
Immaculata High School,,High school degree
Beach Channel High School,,High school degree
Magnolia High School,,High school degree
Aliso Niguel High School,,
High School,,High school degree
Cohoes High School,,
Northern High School,,High school degree
High School,High School Diploma,
High School,,
Bernardsville High School,,
High School,,
Crescenta Valley High School,,High school degree
Galion High School,,High school degree
Diamond High School,,High school degree
Conway High School,,High school degree
Andover High School,,
Steubenville High School,,High school degree
Grain Valley High School,,
Pleasant Grove High School,,
Riverton High School,,High school degree
Central High School,,High school degree
Pelham High School,,
Deerfield Beach High School,,Bachelor of Applied Science (B.A.Sc.)
Lovejoy High School,,High school degree
Rim High School,Self taught graphic designer,
Mariposa County High School,,
Everglades High School,Industry Certified,High school degree
Osceola High School,,High school degree
Osceola High School,,High school degree
Lejeune High School + Brooke Point High School,"---Some Classes Completed:---
Biology

Chemistry

Algebra I

Algebra II

Geometry

Word Processing Software Applications

Presentation Software Applications

Database Software Applications

Spreadsheet Software Applications",
Salinas High School,,High school degree
Opelika High School,,High school degree
Doyle High School,,
Montachusett Regional Technical High School,,High school degree
The Colony High School,,
Towanda Area High School,,High school degree
Monterey Trail High School,,High school degree
SMT. JMG High School,,High school degree
High School England,,
Coppell High School,,High school degree
Franklin high school,it was high school,High school degree
Osceola High School,,Master of Computer Applications (M.C.A.)
Peoria Accelrated high school,,
Homewood Flossmoor High School,"I graduated with Honors and recognition from National Honors Society, Spanish National Honors Society, and French National Honors Society.",High school degree
Lumberton Senior High School,I focused on Business Administration while in High School. I began my clerical duties while in High School and found my interest in start-ups. I served several leadership roles and excelled at them all.,High school degree
Royal Oak High School,,
Palmdale High School,,
Estill County High School,I had a 3.5 gpa upon graduating high school.,High School
New Britain High School,,
Bonanza High School,,High School
Perpich Art High School,"A school for students focusing to get a degree in art for college. It is not a private school, but requires a portfolio, essay and interview to get accepted. The school runs a 11-12 program.",
Creekview High School,"3.0 GPA, Orchestra, French, Writer’s Club, Modern Dance",High School
Windfern High School,,High school degree
Valley High School,,High school degree
Strathcona Composite High School,,High school degree
Paul Laurence Dunbar High School,,
Desert Vista High School,,
Edwardsburg High School,,High school degree
Boise Senior High School,,
Jackson High School,,
Somerset High School,"Elective courses with focus on Business including Marketing, Accounting, Computing, Foreign Language (Spanish I, II) and General Business Courses. 

Member of DECA (Years 1-4)
Member of the Spanish Foreign Language Club (Year 1, 2)
Member of the Art Club (Year 1,2,3)",High School
High School,Some College,High school degree
Elmwood Park High School,,High school degree
Sydney Boys High School,,Higher School Certificate
Bullard High School,Graduated Early with 3.7 GPA,High school degree
Mabank High School,,
Saint Edward High School,,High school degree
Western Hills High School,High School Diploma,
Sonora High School,,High school degree
Wilton High School,,
Mt si high school,,
Monta Vista High School,,
Council Rock High School South,I do not have a degree,
Buffalo Grove High School,Received my high school diploma after summer school my junior year.  I graduated early and went to college in Florida.  I did not finish my college education for personal reasons.,
allen park high school,,High school degree
Floyd Central High School,,High school degree
Piper High School,"3.5 GPA Dean's List Honor Roll, AP Honors English & AP
Honors Social Sciences",High school degree
Hanover-Horton High School,"4 years of Advanced Art

New York City Art Museums/attended lectures/shows and workshops.",Other
Newfield High School,,High school degree
Albert Einstein High School,,High school degree
Moberly Senior High School,,
Riverside high school,,High school degree
Seven Lakes High School,,High school degree
LaSalle Senior High School,,High school degree
Central High School,"Since I started freelancing at 17 I have attended years design training courses as well as multiple adobe, and google seminars. What I lack in a traditional degree I make up for with 10+ years of professional experience in the graphic design field. I believe the most important education that you can aquire for a trade is by actually doing it. Working hands-on, learning from mistakes and growing along side other creative professionals has given me the best training I could have ever hoped for.",
West Milford High School,,High school degree
Madison COunty High School,,High school degree
Ft. Zumwalt North High School,,High school degree
General Mclane High School,,High school degree
Woodmont High School,,Foundation degree
Central High School,,
Power Center Academy High School,,High school degree
High School,,
Bayonne High School,,High school degree
Wellington High School,,
Barton High School,,High school degree
Henry Clay High School,,
Central High School,,
High School,,High school degree
Temecula Valley High School,,
Downtown Business Magnet High School,,High school degree
Madison Central High School,,High school degree
Lakeview Fort Oglethorpe High School,,High school degree
Charles H. Flowers High School,Received my High School Diploma.,
High School,,High school degree
Sanford-Fritch High School,,
Wilshire High School,,High school degree
Kankakee Valley High School,,High school degree
Manitou Springs High School,,High school degree
McKinley Technology High School,,High school degree
Taunton High School,,High school degree
Orange High School,,Associate's degree
Big Walnut High School,,High school degree
Oswego East High School,,High school degree
High School,,High school degree
Lyman High School,"Music, Photography, CISCO Networking, Web Design, Automotive Mechanics",
Azle High School,,
Dixie Hollins High school,,High school degree
Olton High School,,High school degree
Santiago high school,,
High School,,
Vernon Township High School,,High school degree
Ironwood high school,,
Paradise Valley High School,High School Diploma,
Baker High School,"typing, accounting, business communications, economics, writing",High school degree
Central Dauphin East High School,,
Washington High School,,High school degree
Timothy Christian High School/College Of Dupage,,
Central High School,,
Moapa Valley High School,,
Monarch High School,,High school degree
Herbert Hoover High School,,
Ephrata Senior High School,,High school degree
Hartland High School,I attended Marine Corps bootcamp after graduating HS.,High school degree
Orange County High School of the Arts,"I received a college-level arts education, including 4 years of figure drawing, digital art, mixed-media, and art history.",High school degree
Courtland High School,"High School Graduate, 1983 - Courtland High School
Some college classes taken - Germanna Community College",High school degree
Crandon High School,,
Twin Valley High School,,
Hallandale High School,,High school degree
Conneaut High School,,High school degree
Foothill High School,,
Point Pleasant Boro High School,"I have attended numerous training courses for solar design, sales, installation, funding resources and project management. I attend weekly training courses and Webinars to sharpen my skills and keep up with all aspects of our renewable industry.",High School
Stroudsburg High School,,High school degree
Ebbert L. Furr High School,,High school degree
Manti High School,,High school degree
Morton high school,,
Canyon Springs High School,,High school degree
Scituate High School,,High school degree
Penn Foster High School,,High school degree
Pittsburg High School,Also in the process of enrolling in Los Medanos College for a degree in Business Management.,High school degree
Sanderson High School,,
MIAMI CORAL PARK SENIOR HIGH SCHOOL,,High school degree
Ruffin High School,Diploma,
James Logan High School,,High school degree
Lynbrook High School,,
High School,,
Broken Arrow High School,,
Woods Cross High School,,
Riverview Community High School,"Diversity Club Member, S.A.D.D. Club Member, Dearborn Youth Sympathy Member, Dancer, Yoga 4 Peace Volunteer, Michigan Roundtable of Diversity and Inclusion Member, and
Violinist",
Brooklyn High school,,High school degree
Cardinal Hayes High School,,High school degree
Soddy Daisy High School,Lead programmer for FIRST Robotics team,High school degree
Pasco High School,"I'm currently taking college classes alongside my high school classes. My main focus in school is of course my theater class, since it is what will help me accomplish my profession. It has helped me improve in my improv, and my acting as a whole.",High school degree
High School of Art & Design,,
Metlakatla High School,,High school degree
Eisenhower High School,,
Chandler High School,,
Beacon High School,,
High School of Tikrit,,High school degree
Denison High School,,
Booker T. Washington High School,"National Honors Society
Top English Senior",High school degree
Kemp High School,,
Rosary High School,,
hammonton high school,,High school degree
carmel high school,,
Caroline High School,,
DeSoto High School,Focused on computer programming and networking. While attending I completed a 5 year internship with the network administrator that culminated in me being in charge of the main building network most days my senior year.,
Vacaville High School,,High school degree
George A. Dondero High School,Grade point average 3.8,High school degree
Rancocas Valley Regional High School,,
Merrimack High School,,Associate of Arts (A.A.)
Merrimack High School,,
Merrimack High School,One on one class with an instructor who taught me advanced Photoshop and Lightroom techniques.,
Seckman High School,"GPA: 3.8/4.0 National Honor Society, DECA, Student of the Month (Twice)",
Temecula Valley High School,,
James Madison High School,,High school degree
Walker High School,,High school degree
Anahuac High School,,
Masuk High School,"National Honor Society 
3.6 GPA",Diploma
Central High School,,High School
Mt Julliet High School,"Received special secretarial eduation at the Wilson County Vocational School, Lebanon, TN during 1978-1979.  Graduated May 1979.",High school degree
Alhambra High School,,
Soldotna High School,"General Studies, 4 years of high school.",High school degree
Ogemaw Heights High School,,
St. Helena High School,,High school degree
Hudscon Catholic High School for Boys -,Hudson County Area Vocational and Technical School of North Bergen - Data Processing 1 and 2,
Leominster High School,,
"St. Agnes high School, Mangalore",,High School
Thomas A. Edison High School,,High school degree
Johnsonburg Area High School,,High school degree
Beavercreek High School,,High school degree
Tooele High School,,
Richmond Hill High School,,High school degree
Buena High School,,Diploma
North Bend High School,,
Euclid High School,,High School
West Carteret High School,,High school degree
Thompson High School,,High school degree
Enid High School,,
Century High School,,High school degree
Oberlin Senior High School,,High school degree
Gentry  High School,,High School
Brookville High School,,
Northampton High School,,High school degree
John C Birdlebough High School,,High school degree
Hackensack High School,,High school degree
Cherry Hill High School West,"I graduated high school in 1984 with a high school diploma.  I was active in the music department (band, marching band and orchestra).  I was also in the Junior Reserved Officers Training Corps.",High School
Groveport-Madison High School,,High School
Shiner High School,Not attending college classes now but will continue in January,Associate of Science (A.S.)
Jefferson High School,,
Reno High School,"Graduated with a 3.5 GPA, took AP classes and passed all exams with a 3 or above",
Clovis West High School,,High school degree
Reading Senior High School,,High school degree
Eastern Greene High School,,
Christian County High School,I have a high school diploma.,
San Deigo High School,,
Holmes High School,,High school degree
Smithville High School,,High school degree
Garner Magnet High School,,High school degree
Rock hill High School,,High school degree
Liberty High School,,Foundation degree
Dunellen High School,,High school degree
Blackford High School,,
Dalton High School,Required secondary school curriculum.,High school degree
New Milford High School,,Associate of Arts and Sciences (A.A.S.)
Shawnee Mission North West High School,,High school degree
Mountain View High School,,
"Augustus Hawkins High School, USA",,High school degree
Sanderson High School,,High school degree
South Fort Myers High School,,
Fremd High School,,High school degree
Perris High School,,
Clayton High School,,High school degree
Southwest High School,,High school degree
Saint Pius X Catholic High school,Graduated with a 3.8 GPA and scholarships.,High school degree
Lovejoy High School,,
Lovejoy High School,,
Port Jervis Senior High School,"In High School I was enamored with the idea of bridging together higher maths, creative writing, music, and social change. I did this mostly though my studies and my creative writing. I've filled notebooks and blogs (which may still exist!) with ideas of seeing communication and larger social institutional change as physics and something that could be seen in calculus.

I was an art geek though, so I wasn't studying algorithms, even though they would have been helpful to me. I was creating.",High school degree
Peoria Accelerated High School,,High school degree
east lake high school,,High school degree
JH rose high school,High School,
Guyer High School,,
Private High School,,
Canby High School,,High school degree
Pickerington High School North,,
East Central High School,,High school degree
United Township High School,,High school degree
Elkhorn High School,"I graduated from high school half way through my senior year, so technically I attended for only a full 3.5 years.",High school degree
McArthur High School,,High school degree
Glastonbury High School,,High school degree
George Washington Carver High School,,High school degree
Anahuac High School,Graduated with High Honors,
Pelham High School,,High school degree
Northern Burlington County Regional High School,,
West Wilkes High School,,High school degree
Kingsbridge International High School,,High school degree
Elizabeth High School,,
Cass High School,,High school degree
Coventry High School,,High school degree
Mesquite High School,,High school degree
American Sr. High School,,High school degree
RIPPERDAN HIGH SCHOOL,,High school degree
Williamson Senior High School,,
James M Bennett High School,,High school degree
Woodside High School,,High school degree
South Fork High School,,High school degree
Central High School,,
Fraser High School,,
Brattleboro Union High School,,High school degree
Brattleboro Union High School,,High school degree
Dubiski career high school,"Here is where I became very familiar with the Autodesk/AutoCAD programs, and since then I have always used them for my various art projects.",High school degree
Jellico High School,,High school degree
Auburn High School,I took 4 years of 3-D Modeling and Game Development through High School,High school degree
Huntington Beach High School,,
Sam Houston High School,,High school degree
Kimberly High School,,High school degree
Walton High School,Honor Graduate,High school degree
