degree_category,institution,comment,degree
Other,University of Central Florida,,Other
Other,Tampa Preparatory School,,Other
Other,"California State University, Long Beach",,Other
Other,Pensacola State College,,Other
Other,Michigan State University,,Other
Other,Universidad Americana,4 years of career (three semesters left to finish).,Other
Other,American Nicaraguan School,English course,Other
Other,Pinnacle College,,Other
Other,Central High School,,Other
Other,Epicodus,Programming bootcamp teaching PHP/JavaScript,Other
Other,Dekaney High School,,Other
Other,Ohio State University,Specializing in psycholinguistics (the mental processes behind speech and communication),Other
Other,Layton High School,High School Diploma,Other
Other,University of Delaware,"One semester, until it became too costly. My parents were audited and had their assets seized by the IRS so I have the burden of college on my shoulders. I live to be more financially savvy than them.",Other
Other,Stanford University,online Stanford course,Other
Other,Stanford University,online Stanford course,Other
Other,Stanford University,online Stanford course,Other
Other,Academy of Art University,online academy course,Other
Other,Stanford University,online Stanford course,Other
Other,Stanford University,online Stanford courses,Other
Other,Joseph Business School,1 year program teaching business skill and creating a complete business plan.,Other
Other,"California State University, Chico",,Other
Other,"California State University, Chico",,Other
Other,"Camden County Community College - Cherry Hill, NJ",Upgraded skills on newer version of AutoCad.,Other
Other,"Temple University - Philadelphia, PA",I did not graduate with an MFA.,Other
Other,Everest,,Other
Other,Evit,,Other
Other,Florida International University,,Other
Other,Shaw Academy,,Other
Other,Hudson County Community College,"I have been study Writing and Grammar, plus Reading and Academic Discussion for 5 years. In addition, I have strong command of the English Grammar and English Writing Structures. In fact, I am a skillful proofreader.",Other
Other,Other,,Other
Other,MiraCosta College,,Other
Other,Lester Arnold,Various certifications and recognition have been presented to me from my previous employer that I am able to present upon request.,Other
Other,Penn Foster College/Career School Online,No Degree,Other
Other,Skagit Valley College,No Degree,Other
Other,Francis Tuttle Technology Center,"Technical degree.  Covered instrumentation and control systems, PLC and DCS programming, and large-scale SCADA systems",Other
Other,Webster University,Graduate Certificate in Change Management,Other
Other,Harvard Business School,,Other
Other,University of Oxford,,Other
Other,"Cegri at Grenada, Spain",,Other
Other,Heartland College,,Other
Other,University of Colorado at Boulder,,Other
Other,Western Illinois University,,Other
Other,l'Université Sainte-Anne,6-week French Immersion course; Certificate of Completion and Credits transferred to ULL to count towards Bachelor's Degree in Modern Languages.,Other
Other,Virginia Commonwealth University,"Post Master's Certificate (21 Hours) in Education Leadership: Adult Learning, Professional Development",Other
Other,Boston University,Non-degree summer study internship program.,Other
Other,University of Nebraska at Omaha,,Other
Other,University of California San Diego - Extension,,Other
Other,Southern California School of Interpretation,,Other
Other,Valencia College,,Other
Other,St. John's University,,Other
Other,The Real Estate School,,Other
Other,University of Central Florida,"The Graduate Certificate in Professional Fundraising falls under UCF's College of Health & Public Affairs in the School of Public Administration. The certificate program consists of 18-credits worth of upper-level coursework completely online, which provides a dive into the core concepts of fundraising and development for those interested in preparing for or advancing an existing career as a professional fundraiser, gift officer, nonprofit executive, etc.",Other
Other,Scottsdale Community College,3.89 GPA,Other
Other,American High School,,Other
Other,Universidad Complutense de Madrid,I have done 5 years of dentistry,Other
Other,AT HOME PROFESSIONS,"DETAILED OVERVIEW OF MEDICAL INSURANCE CLAIMS IN ALL FILING AND BILLING AREAS.
4.0 GPA",Other
Other,CPCC,"QUARK, PHOTOSHOP, MAC AND APPLE, ART HISTORY, DESIGN AND COLOR BASICS",Other
Other,Durham Technical Community College,,Other
Other,Central Piedmont Community College,,Other
Other,Clinton High School,,Other
Other,Forsyth Tech College,,Other
Other,Siantou Higher Institute,"I studied communication tools and techniques, professional writing, keyboarding, shorthand,filing, Administrative writing, , organisation and methodology, spreadsheets.",Other
Other,University of Maryland,Major in Legal Studies from which I received a certificate in Paralegal Studies.,Other
Other,Cerro Coso Community College,,Other
Other,Daytona State College,,Other
Other,Peabody Conservatory of Music,,Other
Other,Sessions.edu,"Learned how to use Photoshop, Illustrator, and inDesign. Within these programs I learned about typography, color theory, graphic design, and more.",Other
Other,Kaplan University,,Other
Other,Saint Louis Community College,Certificate of Specialization in Animation & 3D Graphics.,Other
Other,Harper's Ferry Job Corps,Vocation Diploma in Office Administration - Business and Finance,Other
Other,University Of Illinois,I am taking online courses in Digital Marketing at the University of Illinois School of Business.,Other
Other,General Assembly,,Other
Other,Hack Reactor,6 week course covering web development basics.,Other
Other,General Assembly,Online Javascript circuit at General Assembly.,Other
Other,Women's Coding Collective,Online courses in html and Css.,Other
Other,ITT Technical Institute,"GPA of 3.9
Valedictorian
Awarded with Highest Honor",Other
Other,Jefferson Community College,"A.A.S 
President's List
Dean's List",Other
Other,Antelope Valley College,,Other
Other,Mass Control - Frank Kern,I have gone through Frank Kern's Mass Control program and learned the ins and outs of online direct response marketing. This education covered everything from copywriting to the actual business messaging.,Other
Other,Northeast Wisconsin Technical Center,,Other
Other,Sree Prathibha Junior College,,Other
Other,Pima Community College,,Other
Other,West Virginia University,"I attended WVU for about 2 years.  Though I eventually left to persue the
industry without achieving a degree, I held high grades and was recognized by
professors as being in the top of the class.

  
Courses had emphasis on OOP, design patterns, database modeling and design,
C++, SQL and too much math.  Major related courses included programming
languages, database design, software engineering, and calculus.",Other
Other,Colegiatura Colombiana de Diseño,,Other
Other,Colegiatura Colombiana de Diseño,,Other
Other,"Royal School of Signals, Blandford",British Army trade - Telecommunications Systems Operator,Other
Other,Blackhawk Technical College,,Other
Other,Amsterdam School of Arts,"One year program as part of my bachelor's degree, during which I focused on composition and music theory.",Other
Other,Pinellas Technical Education Center (PTEC),"Non-degree, year-long program to learn web development and design",Other
Other,Bloc,,Other
Other,Beloit College,Left Beloit College in my 3rd year when my savings were exhausted.,Other
Other,Central Piedmont,Associated Degree from Central Piedmont in Dramatic Theater and Performance.,Other
Other,Louisville Technical Institute,Completed 2/3 of program and went straight into career in IT after finding my niche elsewhere.,Other
Other,CHUBB Institue,I finished school with a 3.86 GPA in Network Security.,Other
Other,Learning Patterns,,Other
Other,Learning Patterns,,Other
Other,"Rooman Institute of Technology, Bangalore, India",,Other
Other,American Military University,,Other
Other,American Military University,,Other
Other,New Horizons Computer Learning Center,,Other
Other,Heidelberg University,,Other
Other,Hanover-Horton High School,"4 years of Advanced Art

New York City Art Museums/attended lectures/shows and workshops.",Other
Other,Tulane University - A.B. Freeman School of Business,Masters Certificate in Business Management,Other
Other,Specs Howard School of Media Arts,"This was a year program where we learned how to write, shoot, and edit stories for radio and video broadcasting.",Other
Other,Hunter College,Obtained certificate in marketing.,Other
Other,UC San Diego Extension,Curriculum of 195 hours.,Other
Other,Atlantic Vocational Technical Center,Graduated Accounting Operations - 1998,Other
Other,LearningFuze,,Other
Other,Udemy,,Other
Other,UC Irvine,,Other
Other,Pima Community College,,Other
Other,Market Motive,,Other
Other,Rochester Institute of Technology,"128 credit hours completed. Relevant coursework includes Computer Science 1-4, Software Engineering, Data Communication and Networks, Programming Language Concepts, Computer Organization, Operating Systems, Applications in Virtual Reality, Computer Graphics, Discrete Mathematics, and Professional Communication.",Other
Other,Phillips JC,Associates Degree Earned with 3.4GPA,Other
Other,Carrington College,,Other
Other,Valencia Community College,,Other
Other,Wesst Valley College,,Other
Other,Galvanize,"A 500+ hours project-based curriculum emphasizing statistics, data processing, machine learning and data visualization in SQL and Python.",Other
Other,CKTCS,Licensed Practical Nurse,Other
Other,"Foothill College, Palo Alto CA",,Other
Other,University of Hartford,,Other
Other,Babson College,Spent one year and transfered to UCONN.,Other
Other,BSBT College,I am an undergraduate of this degree but have enough work experience.,Other
Other,Minnnesota U Of M,,Other
Other,Coosa Valley Technical College,,Other
Other,Art Instruction School,This was for my hobby in drawing/painting.,Other
Other,Middle Tennessee State University,This training was necessary to perform job duties.,Other
Other,School of Paralegal Studies,"Received certificate, August 1992.",Other
Other,River Valley Community College,"Payroll, Depreciation, Inventory, General Bookkeeping, Fraud Prevention and Internal Controls",Other
Other,LA Film School,"I took several classes form  Object Perspective, 3D Foundations, Model Creation to Behavioral Science, College Mathematics, and English Composition. 
Although I wasn't able to finish due to financial issues, I really enjoyed being there and learning as much as I did, but I due plan on going back as soon as all my financial issues are taken care of.",Other
Other,"St. Aloysius College, Mangalore",i did my Pre university college,Other
Other,General Assembly DC,"• Full-time, 12-week, web development course covering front and back end programming, which covers the following technologies: HTML, CSS/SASS, JavaScript/jQuery, Angular.js, Node.js/Express.js, Ruby, Rails, PostgreSQL, and MongoDB. Developed a portfolio of both individually focused and collaboratively focused projects.",Other
Other,Polk Community College,I left PCC before earning a degree and transferred to the University of Central Florida.,Other
Other,Broward College,,Other
Other,Broward College,,Other
Other,Chinelly School of Real Estate,,Other
Other,Katharine Gibbs Secretarial School,,Other
Other,General Assembly,"10 week course concentrating on core skills such as HTML5, CSS3, Responsive Design, JS and jQuery. 

http://generalassemb.ly",Other
Other,Springfield College,,Other
Other,University of Connecticut,,Other
Other,Tulsa Community College,Associates degree,Other
Other,DTCC,I have been going to school on and off over the years. I am currently in school for Business.,Other
Other,Reedly College,,Other
Other,Long Beach City College,"I have received my Career Certification in Micro computing Help Desk and am
currently working on my AS in Computer Science. I have taken courses in and am
familiar with PHP/MySQL, Dreamweaver, HTML/XHTML, Computer Networking,
Internet Security, Wireless Technology, Computer Hardware Repair, and
Microsoft Office 2003 & 2007.",Other
Other,Strayer University,,Other
Other,Santa Barbara City College,In May 2011 I will have received an Associate in Science Degree in Computer Information Systems and a Associate in Arts Degree in Business.,Other
Other,Bakersfield College,In May 2011 I will receive an Associate in Arts Degree in Communication and a Associate in Science Degree in Web Development.,Other
Other,State University of New York at New Paltz,"At SUNY New Paltz, I was looking for the ways we interpersonally communicate on a broader scale, while still reflecting on it philosophically, and applying it for social change. There was a nice milieu of languages as well as opinions. However, there were some things of my own I needed to do, so I had to leave school, go home, and work on transitioning and creating a grounded life for myself, so that when I returned to school (maybe that one) I would be both at ease in my own skin and prepared.",Other
Other,Barton Country Community College,,Other
Other,"Certificate, Full Stack Web Development Coding Boot Camp",,Other
Other,Mccann School of Business,"i am working on my Bachelors Degree in Business accounting. i am Intuit Quick books Certified, Microsoft Excel & Word Certified, and more.",Other
Other,PC Supply,,Other
Other,Data Communicatons Institute,Certificate -  Data Communications,Other
Other,Columbus Paraprofessional Institute,"Flowcharting, Assembler, RPG, COBOL",Other
Other,Culinary Institute of America,Associates Degree in Culinary Arts,Other
Other,Berklee College of Music,,Other
Other,George Washington University,"Transferred to NYU for undergrad degree completion, B.A. Humanitities and Classical Languages.",Other
Other,L'Academie de Cuisine,,Other
Other,Intuit,Obtained updated ProAdvisor Certification Training,Other
Other,Ross University School of Veterinary Medicine,,Other
Other,Quinnipiac University School of Law,Licensed in the State of Connecticut,Other
Other,Liberty University,,Other
Other,Ozark Technical Community College,,Other
Other,Kingsborough Community College,,Other
Other,River Plate Adventist University,Medical degree in Villa libertador San Martin- Entre Rios- Argentina.,Other
Other,montego bay community college,"at montego bay community college i studied in the area of arts where i major in  advance level spanish, history, communication studies, sociology and caribbean studies where i acchieved an associate degree",Other
Other,Calfornia Notary Schools,,Other
Other,American River College,,Other
Other,Sierra College,,Other
Other,North Seattle Community College,"Took Accounting 101, 102, 103 - 4.0 student in all three classes",Other
Other,Carleton College,,Other
Other,Amerincan Continental University,I completed the first couple semesters for Business Administration towards my AA.  Had to quit do to Deployment to Iraq,Other
Other,Portland State,"Multiple Certification prep for Cisco, A+, Network +, MCSE training",Other
Other,Insurance Adjuster,"Completed all required coursework made a 98 on final test, awarded a diploma in the field",Other
Other,PcPro Schools,,Other
Other,PcPro School,,Other
Other,MCC,"I have an associates degree, and I also started going to school at UNK a year ago, but I took a semester off but I am planning on going back to school to get my bachelors",Other
Other,"Monroe Community College, Rochester NY","At Monroe Community College, I earned my Associates Degree in Music. The school is nationally ranked and recognized as one of the most innovative community colleges in North America.

While attending MCC, I tutored Statistics and was Vice President of the Student Music Association.",Other
Other,Various online educational platforms,"I am constantly improving my skills, developing new techniques and learning new software so I can continue to push the boundaries of quality and creativity on every new project that I work on.",Other
Other,Stevie Vallance Toonedin! Workshop,,Other
Other,Creative Voice Development Group,,Other
Other,Penn Foster ,,Other
Other,Texas State Techical College,Associate of Applied Science,Other
Other,Mclennan Community College,Associate of Arts,Other
Other,"Seijo University - Tokyo, Japan",Participated in Academic Year Student Exchange Program through UWM,Other
Other,Georgia Southern University,,Other
Other,Berkeley Community College,"took classes in Adobe After Effects, Print Design and drawing.",Other
Other,Lynda dot com Training Library,"video based studies for Photoshop, Illustrator, After Effects and InDesign",Other
Other,"University of California, Santa Cruz",A certificate in accounting.,Other
Other,Oral Roberts University,,Other
Other,Texas Tech,,Other
Other,Art Institute of Seattle,,Other
Other,Southern California University of Health Sciences,Ayurvedic Wellness Educator Certificate Program.,Other
Other,University of Barcelona,,Other
Other,San Diego State University,,Other
Other,Art Institute of Pittsburgh,"Completed over 121 credit hours of coursework towards degree program before transferring into Liberty University to finish my Bachelors. Had training and education in Design, Color Theory, Drawing, Animation, Video editing, New Media, Digital Art and the Adobe Creative Suite.",Other
Other,Advanced Computer Learning,,Other
Other,Allegheny College,,Other
Other,Syracuse University,.,Other
Other,University of North Carolina at Asheville,,Other
Other,Madison College,"Visual Communications is a degree that branches out to all areas of design. Filmmaking, Photography, Motion Graphics, Illustration, and design.",Other
Other,Portand Community Media,I'm a certified producer at Open Signal (Portland Community Media),Other
Other,George Mason University,27 core hours to sit for cpa exam,Other
Other,Keller Graduate School of Management,,Other
Other,Ankara Üniversitesi,,Other
Other,Universidad EAFIT,,Other
Other,Universidad EAFIT,,Other
Other,McGill University,,Other
Other,McGill University,,Other
Other,Art institute of Nashville,,Other
Other,Stanbridge College,,Other
Other,Erie County Technical School,,Other
Other,Indiana University-Purdue University at Indianapolis,,Other
Other,North Central State College,,Other
Other,Professional Training,"- Data Modeling and Relational Database Design - Data Warehousing Fundamentals  
- Oracle 8i  (OPS) -Oracle 9i Web Application Server - Oracle 9iAS - Oracle 10g RAC - Oracle 11G - Oracle SQL, PL / SQL  
- Database Administration - Performance Tuning Workshop - Backup and Recovery - Distributed Database Implementation  
-  QUEST ( I/WATCH, SHAREPLEX, Space Manager, LiveReorg…)  
- MAPINFO Spatialware - ORACLE 8i Spatial Option   
- FraudBuster / Fraud Centurion- System Administration  
-  Microso",Other
Other,"Columbia University, NY NY",.,Other
Other,FreeCodeCamp,I got my front and back end web development certificate from FreeCodeCamp. Check it out at https://www.freecodecamp.org/kennethlumalicay.,Other
Other,simplilearn,,Other
Other,Laney College,,Other
Other,Solano College,,Other
Other,Dell'Arte International,"I did a full-time year at this school, and received the Professional Training Program (PTP) Certificate in Physical Theatre.",Other
Other,Origin Code Academy,"Graduated at one of the top coding boot camps that centers on the
fundamentals and best practices of full-stack web development. Core
curriculum includes concentration on client-side development using
HTML5, CSS3 and AngularJS and server-side development using .NET 4.5,
C#, ASP.NET Web API, Entity Framework and SQL Server. There is also a
secondary focus on full-stack JavaScript development using the MEAN and
MERN stack.",Other
Other,Harvard,"Learned a broad and robust understanding of computer science and
programming including: algorithms, HTTP protocols, memory usage, data
structures, security, encapsulation, resource management, web
development, and software engineering. Languages used: C, Python, SQL,
JavaScript, CSS and HTML.",Other
Other,Pratt Institute,,Other
Other,Fashion Institute of Technology,,Other
Other,Tech Academy,"Bootcamp in Portland, OR",Other
Other,Berklee online,"Music Technology Certificate Program including: Audio Post-Production, Critical Listening, Audio Mixing and Recording, and Live Sound Operation.",Other
Other,Universidad Monteávila,,Other
Other,Acadiana Area Career College,,Other
Other,Silicon Valley College,,Other
Other,Middlesex Community College,Licensed Optician for five years,Other
Other,Southeastern College,"Graduated the top of my class in peels, microdermabrasion,laser treatments, galvantic microbes, body wraps, make-up..etc. I'm educated on almost anything you could dream of in the beauty industry for skincare. I also attended other colleges for my associates degree before this.",Other
Other,Greenbrier High School,"College prep classes. Calculus, because I loved math. We also did a senior project, where i created a children's book.",Other
Other,Bogaziçi Üniversitesi,,Other
Other,Stanford University,,Other
Other,Queensborough Community College,Focused on studies in print media and advertising.,Other
Other,North Hennepin Community College,,Other
Other,North Hennepin Community College,,Other
Other,Datc,,Other
Other,ecosiam,,Other
Other,University of Louisville School of Medicine,,Other
Other,General Assembly,,Other
Other,Santa Fe Community College,,Other
Other,University of Wisconsin-Stout,,Other
Other,University of Arizona,,Other
Other,Massachusetts Institute of Technology,MicroMasters in Supply Chain Management,Other
Other,Barry University,Year abroad,Other
Other,Focus: HOPE,"Cisco Certified Network Administrator Certificate
Microsoft Office Word Expert
CompTIA A+ Certified",Other
Other,University of San Francisco,,Other
Diploma,Louisiana Business College,,Diploma - Travel and Tourism
Diploma,NRI,Completed Multimedia Programming course through NRI,Diploma
Diploma,Reedsport High School,"National Honor Society
DECA, Honor Choir 3 years out of 5
Honor Roll, 3.87/4.00 GPA",Diploma
Diploma,University of Wales College of Medicine,,Diploma in Clinical Dermatology
Diploma,SUNY Canton College,Associates Degree; Honor Society,Diploma
Diploma,Haslett High School,,Diploma
Diploma,Woonsocket Senior High School,"Inducted into Rhode Island and National Honor Societies.

Nominated for and published in Who’s Who Among American High School Students.",Diploma
Diploma,Taunton High School,,Diploma
Diploma,Saint Ignatius High School,,Diploma
Diploma,"Berufsfachschule Oberwallis, Switzerland",,Diploma
Diploma,Gibbs College,,Diploma
Diploma,Chubb Institute,,Diploma
Diploma,Santa Rosa Junior College,,Diploma
Diploma,Sussex Downs College,"Studied English, Psychology and Music Technology at A Level. Commended for writing skills and received highest grade in the class for music sequencing.",Diploma
Diploma,Union County High School,"I attended Horace Maynard High School from 1994 to 1997, after that a new High
School was built in my county. I spent my Senior year at Union County High
School. My best subjects were English & Literature.",Diploma
Diploma,The Art Institute of Pittsburgh: Online Division,,Web Design Diploma 
Diploma,Granada Hills High School,,Diploma
Diploma,BITTS,.,Diploma
Diploma,Indian Merchants Chamber of Commerce & Science,.,Diploma
Diploma,Spartanburg Community College,"CNC, Welding, Pipe Fitting, Manual Machining, English electives, Advanced Chemistry, Trigonometry, Computer Sciences

Graduated with Honors",Diploma
Diploma,"Westminster High School - Westminster, CA",,Diploma
Diploma,Orlando International School of Visual and Entertainment Design,,Diploma
Diploma,Taganrog State University Of Radioengineering,,Diploma
Diploma,Hampton Christian High School,,General Diploma
Diploma,ITT Technical Institute,"Graduated as Associate Level Class Salutatorian with a GPA of 3.98

Courses included art and animation geared towards a beginner through intermediate level.  Nearing the end of the program we had courses covering basic game development using the adobe flash platform.

example of art projects I worked on were photo manipulation and repair, creating magazine covers.

animation projects included creating a motion comic through the use of Adobe ""After Effects.""",Diploma
Diploma,SUNY-Westcehester Community College,"Went back to school at night, while working full time as a trial attorney, in
order to qualify for the Patent Bar Examination which requires a science or
engineering degree.",Diploma
Diploma,TK - Yambol,"Automation, Information and Management Technology",Diploma
Diploma,Ysleta High School,"Graduated in the top 5%, National Honor Roll, Math and Science Club, and AP College Calculus and Physics courses.  Spanish, Chemistry, Mathematics recognition. ",H.S. Diploma
Diploma,Big Spring High School,,Diploma
Diploma,NIIT Ltd.,,Diploma
Diploma,Art Institute of Atlanta,I am currently pursuing a dual diploma in Digital Design and AutoCAD.,Diploma
Diploma,Dr. Buhmann Wirtschaftsfachakademie,"In 2000: ""Economic Assistant for Correspondence and Languages""
In 2001: Associates Degree in ""International Marketing and Trade""
In 2001: HEDMAR (Higher European Diploma of International Marketing and Trade)",Diploma
Diploma,High-Tech Institute,"AAT Computer Electronics from High-Tech Institute Phoenix Arizona
59 Credit Hours towards AAS Electrical Engineering Maricopa Community Colleges. Phoenix Arizona. 
4 day course on Java / XML
Windows Administration and Unix Administration H.P. Training
4 Day SQL course Taught by Informix.
2 day course on building clusters
1 week course on matlab
1 week course on python",Diploma
Diploma,Mesa College,,Diploma
Diploma,Lake Gibson,.,Diploma
Diploma,Sveti Sava,,Diploma
Diploma,Union Springs High School,,Diploma
Diploma,•	Stratford Career Institute,,Diploma
Diploma,ITT Technical Institute,,Diploma
Diploma,STI College of Davao,,Diploma
Diploma,International Baccalaureate,,I.B. Bilingual Diploma: Business&Computer Science
Diploma,Lake Weir High,,Diploma
Diploma,"NSU, The Language Institute, Tahlequah, Oklahoma",,Diploma
Diploma,"State University of New York, The Levin Institute",,Diploma
Diploma,"Camara de Comercio, Trade Chamber of Spain, Soria, Spain",,Diploma
Diploma,Kettering High School,Heavily participated in Honors courses and extracurricular activities. Graduated in the top 5% of my class with Honors. Fell in love with any mathematics and computer courses I took.,Diploma
Diploma,Sessions Online School of Design,"This certificate class tackled advanced concepts of design, with practical
applications and hands-on experience. I received near-perfect grades on
all assignments, and high praise from the instructor.",Diploma
Diploma,Advanced Training Institute,"This one-week class gave hands-on training with a variety of software packages
and design techniques. I received all 95%+ grades and high praise from the
instructor.",Diploma
Diploma,Parkland College,,Diploma
Diploma,Western Texas Junior College,"Received AA degree in music, Outstanding Music Student Award, scholarships.",Diploma
Diploma,Arts College,,Diploma in Commercial Arts
Diploma,University of East Anglia,"Higher Education Certificate - extra curricular studies in Photography, Japanese, Italian, and Fencing. 

Course included french language and culture studies as well as basic principals of UK law. Member of Schools Law Society and French Society.",Diploma
Diploma,Norwich High School,,Diploma
Diploma,Army Recruiting and Retention School,"Purpose: To provide training in those skills and knowledge required to perform in the position of Guidance Counselor, Operations, USAREC Liaison and Directorate staff positions for the United States Army Recruiting Command.  Graduates receive the ASI V7  
  
Scope: The curriculum is designed to provide Regular Army and Army Reserve
enlistment procedures based on actual Military Entrance Processing Command
data.  Students learn using the ""hands-on"" approach.  Students learn the
latest computer ha",Diploma
Diploma,Stephen T Badin High School,,Diploma
Diploma,Hollywood High School,,Diploma
Diploma,Redview Prep,,Diploma
Diploma,Chemeketa Community College,"Visual Communications is an Associates Degree. It includes the study of Graphic design, web design, and photography. 

Normally this degree is completed in 3 years due to its intensive study, I completed the degree in 2 years.",Diploma
Diploma,New Covenant Christian Academy,"I received my Advanced Honors Diploma with three extra credits. I graduated as
salutatorian in my class (though under questionable circumstances since
valedictorian had been caught cheating) at 17 years old. I started
kindergarden a year late due to my date of birth, so I graduated high school a
year early on this basis. I took typing, reading, and comprehension classes in
my junior/senior year of high school, and take regular update/refresher
courses to stay sharp in these subjects.

  
At last",Diploma
Diploma,Southern Federal University,,Diploma
Diploma,Tennessee Tech Center,"Received a Graphic Artist/Designer Diploma as well as Certifications in all Adobe Programs, Quark and Paste Up/Layout.",Diploma
Diploma,Georgia Perimeter College,In Progress,Diploma
Diploma,"Technical College of Arts and Industry, Kiev.",,"Diploma of Specialist, Graphic Art Designer"
Diploma,"Thomas Edison State Colleve, AAS",Achieved AAS degree on route to BA.,Diploma
Diploma,Chubb Institute,,Diploma
Diploma,Parksley High,,Diploma
Diploma,Holy Names High School,,Diploma
Diploma,Valley College of Technology,"studied all microsoft programs, transcription and medical billing and coding",Diploma
Diploma,Nashville State Community College,I am studying there in order to transfer in 2013 to Tennessee State university.  My major is biology eventually going into physical therapy,Diploma
Diploma,Penn Foster Career School,,Diploma
Diploma,Pittsburgh Job Corps,,Diploma
Diploma,Alhambra High School,"Intense studies in Mathematics, Metal Shop, Manufacturing, Arts & Drafting,
which contributed to the Vocational Arts award from Bank of America.",Diploma
Diploma,Douglas County High School,,Diploma
Diploma,Sandhills College,Took business administration classes.,Diploma
Diploma,The Chubb Institute,,Diploma - Graphic Design & Animation
Diploma,Desert Oasis High School,,Diploma
Diploma,Paul Robeson High School,,Diploma
Diploma,"University of Technology, Jamaica",,Diploma
Diploma,Jefferson Community College,"Received my Associates of Arts degree Magna Cum Laude in the spring of 2010. Took a variety of classes including typing, medical transcription, and Microsoft Excel.",Diploma
Diploma,Weston McEwen Highschool,"9/1991 to 6/1995 - Recieved Highschool diploma. Member of the FFA. Member of FBLA. Drama club, Band, Choir. I formed a school sponsored young men's vocal quartet.",Diploma
Diploma,Alton High,,Diploma
Diploma,Miami-Dade Community College,Completed 2 year Associate in Arts program for Electrical Engineering,Diploma
Diploma,"SUNY/BEOC, New York","Focused on learning manual HTML tags. 

Learned Dreamweaver as well as the basic functions of Flash.",Diploma
Diploma,Xincon School of Technology,,Diploma
Diploma,Trinity Senior High School,"Major GPA     -     4.565
Minor GPA     -     3.75

Extracurricular activities include positions of leadership as well as additional work on teams and committees:

-Model United Nations (President)
-FBLA (Webmaster)
-Science Club (Treasurer and Secretary)
-Spanish Club (Member)
-Beta Club (Member)
-National Honors Society for High School Scholars (Member)
-National Technical Honor Society (Member)
-Tennis Team (Member)",Diploma
Diploma,Luzerne County Community College,,Diploma
Diploma,"Yoga Vidya Dham, Nasik India",,Diploma
Diploma,Lexington High School,,Diploma
Diploma,Urbana Sr High,,Diploma
Diploma,Robert E Lee,"Business Management, Marketing Management, Entreprenuership, General
Marketing, Peer Relations, Academics Tech, and 3yr. Latin",Diploma
Diploma,Boonville High School,,Diploma
Diploma,Chubb Institute,Diploma for computer networking and pc support,Diploma
Diploma,Ocean School of Real Estate,,Diploma
Diploma,Weist Barron School of Acting,,Diploma
Diploma,Cresskill High School,,Diploma
Diploma,Bremerton High School,,Diploma
Diploma,Waubonsee Community College,,Diploma
Diploma,Mount Dora High School,,Diploma
Diploma,Edmonds Community College,,Diploma
Diploma,Garden Grove high school,Graduated at the top 10% of my graduating class. Obtained Honor Roll for all four years of high school.,Diploma
Diploma,Imagine Education,,Diploma of Business
Diploma,Clark University,Masters Certificate,Diploma
Diploma,Hempfield High School,,Diploma
Diploma,Swansboro High,,Diploma
Diploma,Ivy Tech Community College of Indiana,3.89 GPA,Diploma
Diploma,sandusky high school,,Diploma
Diploma,Piedmont High School,North Carolina Scholar,Diploma
Diploma,"Kelleler Schule Mainz, Germany",,Diploma
Diploma,Paint Branch High School,"I went to a magnet school and took AP English Sophmore, Junior, and Senior years.",Diploma
Diploma,Alison,Project Management Certification,Diploma
Diploma,Asher School of Business,"ASHER SCHOOL OF BUSINESS

Advanced Accounting Technology (72 course hours) - Graduated with diploma in
1997",Diploma
Diploma,James Madison HS,,Diploma
Diploma,The London Academy of Music and Dramatic Art,,Diploma
Diploma,Monroe Community College,Received Associate's Degree,Diploma
Diploma,Ranchview High School,,Diploma
Diploma,Robert Morris College,,Diploma
Diploma,Muskegon Community College,"Focus Object-Oriented programing. 
Participant at Model United Nations and Model Arab League.",Diploma
Diploma,Dulaney High School,,Diploma
Diploma,Danville Community College,*Vice President’s Honors List  May 2005,Diploma
Diploma,Dan River High School,,Diploma
Diploma,Brownwood High School,,Diploma
Diploma,Brevard Community College,Was a general Associate in Arts degree with a bent towards creative writing and computers.,Diploma
Diploma,"North Cenral OIC, Fairmiont, WV",,Diploma
Diploma,Cobleskill College Associates Degree,,Diploma
Diploma,Nassau Community College,,Diploma
Diploma,Appleton East High,,Diploma
Diploma,Nashville Senior High,,Diploma
Diploma,DeVry University,Graduated with honors and best student award in Associate of Sciences in Web Graphic Design. GPA 4.0,Diploma
Diploma,Northern Virginia Comm. College,,Diploma
Diploma,Addison High School,Continued high school and graduated cum laude with a general high school diploma.  Received Award of Excellence and Certificate of Distinction in Calculus I.,Diploma
Diploma,Advanced Training Institute,,Diploma
Diploma,"Private Business Bank, Bulgaria, Varna",,Diploma
Diploma,Georgia Piedmont Technical College,"Studies included the manipulation and maintaining of database systems (SQL Server,MYSQL, MS EXCEL, MS ACCESS.",Diploma
Diploma,Dekalb Technical College,"Studies included: word processing, advanced spreadsheets (MS Excel/Access and Networking.",Diploma
Diploma,Global College of Natural Medicine,,Diploma
Diploma,Global College of Natural Medicine,,Diploma
Diploma,J.W. Nixon High School,,Diploma
Diploma,"Lincoln Tech - Pennsauken, NJ",I learned drafting by pencil then learned Cad and computer. Mech. Design was a second nature to me.,Diploma
Diploma,Undisclosed,Associates of Arts in Diversified Studies/Theatre,Diploma
